word;tag;freq_A1;freq_A2;freq_B1;freq_B2;freq_C1;freq_C2
accélérer;VER;0.0;1.0679;3.5715;0.0;20.6179;19.328
accéléré;NOM;0.0;0.0;0.0;0.0;4.139;0.0
acerbe;ADJ;0.0;0.0;0.0;1.2705;0.0;0.0
acharnement;NOM;0.8346;0.0;0.5857;1.2705;0.0;0.0
acharner;VER;0.0;0.0;3.5861;22.6671;0.0;0.0
achat;NOM;18.9749;42.1768;69.8352;4.5679;214.6472;0.0
acheminement;NOM;0.0;0.0;0.3906;0.0;0.0;0.0
acheminer;VER;0.0;0.0;3.6187;8.3751;20.024;0.0
acheter;VER;458.3707;272.3286;177.2441;115.4534;211.486;4.0185
acheteur;ADJ;0.0;0.0;0.4665;0.0;0.0;0.0
acheteur;NOM;0.0;0.4157;1.757;0.0;12.0009;0.0
achever;VER;7.2313;0.606;5.3763;25.2191;4.139;38.656
achoppement;NOM;0.0;0.0;0.0;0.0;4.139;0.0
acide;NOM;0.0;0.0;0.3059;0.0;0.0;19.328
acide;ADJ;0.0;0.0;0.0;0.0;0.0;12.833
acier;NOM;0.0;4.8826;4.8043;0.0;26.3397;0.0
acompte;NOM;0.0;0.0;0.0;0.0;3.4423;0.0
acoustique;NOM;0.0;0.0;0.0;0.0;6.0005;0.0
acquisition;NOM;0.0;0.4157;0.8759;0.0;24.8342;25.6659
acquitter;VER;0.0;0.0;0.4317;0.0;6.0005;0.0
acquéreur;NOM;0.0;0.0;0.438;0.0;6.0005;0.0
acquérir;VER;0.5504;7.6258;48.0878;24.2145;124.5768;131.2856
acrobatie;NOM;0.0;0.0;0.6378;0.0;0.0;0.0
acrobatique;ADJ;0.0;0.0;0.37;0.0;0.0;0.0
acte;NOM;7.6141;4.6636;43.7003;65.0798;103.3225;173.1709
acteur;NOM;7.132;47.61;53.3;25.2191;60.4644;96.64
actif;NOM;0.0;0.4664;0.0;0.0;6.8846;0.0
actif;ADJ;20.9177;6.7862;55.1389;16.7501;93.6934;288.4064
action;NOM;1.2635;21.2432;127.8568;92.7962;344.1439;173.1709
actionnaire;NOM;0.0;0.0;0.4665;1.2705;6.0005;19.328
actionner;VER;0.7319;0.0;7.3728;0.0;6.0005;0.0
