abandon
notifier
notion
nuance
nucléaire
nuisance
nutrition
nymphe
obédience
objectif
objet
obscurité
observatoire
occasion
océan
octobre
offensif
office
omission
opération
opérationel
opérer
optimisme
option
oratoire
ordinaire
organiser
organisme
orientation
orphelin
ouest
pacifier
paiement
palais
panique
papier
parachute
paraliser
parc
parchemin
parent
parfait
parfum
part
participer
particule
passion
patience
peloton
pénitence
perceptible
permanent
perpendiculaire
perseverance
pertinent
phénomène
phosphate
photo
photographe
photographie
piano
pingouin
pionnier
pirate
plan
planétarium
planète
plante
plat
poème
polémique
police
population
pratique
pratiquer
prédécesseur
préjudice
préparation
préparer
présentation
présenter
président
prétexte
principal
problème
professeur
professionnel
promet
prononciation
propulseur
prudent
publicité
purgatoire
qualification
qualité
quart
quartier
question
quête
queue
quintal
quorum
quotient
racisme
radiation
radio
radioactif
raid
rail
raison
rapidité
ration
rationnel
rayon
réaction
réalite
récent
réceptif
réciter
rectangle
recyclable
réel
reflection
réfraction
régiment
région
régional
réhabilitation
relation
religion
remarquable
remède
rempart
renaissance
réparation
représenter
reptile
resemblance
réservation
resonance
respect
respectable
restaurant
résultat
réunion
révolutionnaire
riche
rigide
risque
romantique
rond
rose
rotation
route
royal
royauté
rumeur
rythme
sacrifice
salaire
salin
science
secret
secrétaire
segment
septembre
séptembre
série
sérieux
session
silence
simplifier
situation
ski
sociable
socialiste
société
sociologie
sofa
solide
solidifier
solitude
solution
souverain
spécial
spécialement
spectre
splendide
squelette
station
statistique
studio
stupide
substance
suffisant
support
surprise
survivre
suspect
symetrique
sympathique
syndicat
table
tailleur
talent
technologie
téléphone
téléscope
télévision
temoignage
tentation
terminer
terrible
texture
théâtre
théologie
tolerance
tolérant
tomate
tortue
totalement
touriste
tournoi
traditionnellement
trafic
transaction
transparent
transport
triple
triumphant
trompette
troupe
tube
typique
typographique
ultraviolet
unifier
uniforme
unique
université
uranium
urgence
urgent
urne
usuel
utiliser
vacance
vacant
validité
vanité
variante
vaste
végétales
végétarien
venimeux
ventricule
verbe
vérifier
vermine
version
vertical
via
vibrance
vibrant
vin
violence
visible
visiter
vocabulaire
vocal
voix
volleyball
volontaire
vulnérable
yacht
zen
zéro
zinc
zircon
zone
consommation
libraire
intellectuel
